,index,year,country,artist,song,language,final-rank,points
291,291.0,1975, Netherlands,TeachIn,DingaDong,English,,
292,292.0,1975, Ireland,The Swarbriggs,Thats What Friends Are For,English,,
293,293.0,1975, France,Nicole Rieu,Et bonjour a toi lartiste,French,,
294,294.0,1975, Germany,Joy Fleming,Ein Lied kann eine Brucke sein,GermanEnglish,,
295,295.0,1975, Luxembourg,Geraldine,Toi,French,,
296,296.0,1975, Norway,Ellen Nikolaysen,Touch My Life With Summer,English,,
297,297.0,1975,  Switzerland,Simone Drexel,Mikado,German,,
298,298.0,1975, Yugoslavia,Pepel in kri,Dan ljubezni,Slovene,,
299,299.0,1975, United Kingdom,The Shadows,Let Me Be the One,English,,
300,300.0,1975, Malta,Renato,Singing This Song,English,,
301,301.0,1975, Belgium,Ann Christy,Gelukkig zijn,DutchEnglish,,
302,302.0,1975, Israel,Shlomo Artzi,At veani At vAny,Hebrew,,
303,303.0,1975, Turkey,Semiha Yanki,Seninle bir dakika,Turkish,,
304,304.0,1975, Monaco,Sophie,Une chanson cest une lettre,French,,
305,305.0,1975, Finland,Pihasoittajat,Old Man Fiddle,English,,
306,306.0,1975, Portugal,Duarte Mendes,Madrugada,Portuguese,,
307,307.0,1975, Spain,Sergio  Estibaliz,Tu volveras,Spanish,,
308,308.0,1975, Sweden,Lasse Berghagen feat The Dolls ,Jennie Jennie,English,,
309,309.0,1975, Italy,Wess  Dori Ghezzi,Era,Italian,,
310,310.0,1976, United Kingdom,Brotherhood of Man,Save Your Kisses for Me,English,,
311,311.0,1976,  Switzerland,Peter Sue  Marc ,Djambo Djambo,English,,
312,312.0,1976, Germany,Les Humphries Singers,Sing Sang Song,German,,
313,313.0,1976, Israel,Chocolate Menta Mastik,Emor shalom Amvr SHlvm,Hebrew,,
314,314.0,1976, Luxembourg,Jurgen Marcus,Chansons pour ceux qui saiment,French,,
315,315.0,1976, Belgium,Pierre Rapsat,Judy et Cie,French,,
316,316.0,1976, Ireland,Red Hurley,When,English,,
317,317.0,1976, Netherlands,Sandra Reemer ,The Partys Over,English,,
318,318.0,1976, Norway,AnneKarine Strom ,Mata Hari,English,,
319,319.0,1976, Greece,Mariza Koch,Panagia mou Panagia mou Panagia mou Panagia mou,Greek,,
320,320.0,1976, Finland,Fredi   Ystavat,PumpPump,English,,
321,321.0,1976, Spain,Braulio,Sobran las palabras,Spanish,,
322,322.0,1976, Italy,Al Bano  Romina Power,Well Live It All Again Io rivivrei,EnglishItalian,,
323,323.0,1976, Austria,Waterloo  Robinson,My Little World,English,,
324,324.0,1976, Portugal,Carlos do Carmo,Uma flor de verde pinho,Portuguese,,
325,325.0,1976, Monaco,Mary Christy,Toi la musique et moi,French,,
326,326.0,1976, France,Catherine Ferry,Un deux trois,French,,
327,327.0,1976, Yugoslavia,Ambasadori,Ne mogu skriti svoju bol,Bosnian,,
328,328.0,1977, Ireland,The Swarbriggs  Plus Two,Its Nice to Be in Love Again,English,,
329,329.0,1977, Monaco,Michele Torr ,Une petite francaise,French,,
330,330.0,1977, Netherlands,Heddy Lester,De mallemolen,Dutch,,
331,331.0,1977, Austria,Schmetterlinge,Boom Boom Boomerang,German English,,
332,332.0,1977, Norway,Anita Skorgan,Casanova,Norwegian,,
333,333.0,1977, Germany,Silver Convention,Telegram,English,,
334,334.0,1977, Luxembourg,AnneMarie B,Frere Jacques,French,,
335,335.0,1977, Portugal,Os Amigos,Portugal no coracao,Portuguese,,
336,336.0,1977, United Kingdom,Lynsey de Paul  Mike Moran,Rock Bottom,English,,
337,337.0,1977, Greece,Pascalis Marianna Robert  Bessy,Mathima solfege Mathema solphez,Greek,,
338,338.0,1977, Israel,Ilanit ,Ahava hi shir lishnayim Ahbh hyA SHyr lSHnyym,Hebrew,,
339,339.0,1977,  Switzerland,Pepe Lienhard Band,Swiss Lady,German,,
340,340.0,1977, Sweden,Forbes,Beatles,Swedish,,
341,341.0,1977, Spain,Micky,Ensename a cantar,Spanish,,
342,342.0,1977, Italy,Mia Martini,Libera,Italian,,
343,343.0,1977, Finland,Monica Aspelund,Lapponia,Finnish,,
344,344.0,1977, Belgium,Dream Express Hearts of Soul ,A Million in One Two Three,English,,
345,345.0,1977, France,Marie Myriam,Loiseau et lenfant,French,,
346,346.0,1978, Ireland,Colm C T Wilkinson,Born to Sing,English,,
347,347.0,1978, Norway,Jahn Teigen,Mil etter mil,Norwegian,,
348,348.0,1978, Italy,Ricchi e Poveri,Questo amore,Italian,,
349,349.0,1978, Finland,Seija Simola,Anna rakkaudelle tilaisuus,Finnish,,
350,350.0,1978, Portugal,Gemini,Dai li dou,Portuguese,,
351,351.0,1978, France,Joel Prevost,Il y aura toujours des violons,French,,
352,352.0,1978, Spain,Jose Velez,Bailemos un vals,Spanish French,,
353,353.0,1978, United Kingdom,CoCo,The Bad Old Days,English,,
354,354.0,1978,  Switzerland,Carole Vinci,Vivre,French,,
355,355.0,1978, Belgium,Jean Vallee ,Lamour ca fait chanter la vie,French,,
356,356.0,1978, Netherlands,Harmony,t Is OK,Dutch,,
357,357.0,1978, Turkey,Nilufer  Nazar,Sevince,Turkish,,
358,358.0,1978, Germany,Ireen Sheer ,Feuer,German,,
359,359.0,1978, Monaco,Caline  Olivier Toussaint,Les jardins de Monaco,French,,
360,360.0,1978, Greece,Tania Tsanaklidou,Charlie Chaplin Tsarlu Tsaplin,Greek,,
361,361.0,1978, Denmark,Mabel,Boom boom,Danish,,
362,362.0,1978, Luxembourg,Baccara,Parlezvous francais,French,,
363,363.0,1978, Israel,Izhar Cohen  Alphabeta,Abanibi Abnyby,Hebrew,,
364,364.0,1978, Austria,Springtime,Mrs Caroline Robinson,German,,
365,365.0,1978, Sweden,Bjorn Skifs,Det blir alltid varre framat natten,Swedish,,
366,366.0,1979, Portugal,Manuela Bravo,Sobe sobe balao sobe,Portuguese,,
367,367.0,1979, Italy,Matia Bazar,Raggio di luna,Italian,,
368,368.0,1979, Denmark,Tommy Seebach,Disco tango,Danish,,
369,369.0,1979, Ireland,Cathal Dunne,Happy Man,English,,
370,370.0,1979, Finland,Katri Helena,Katson sineen taivaan,Finnish,,
371,371.0,1979, Monaco,Laurent Vaguener,Notre vie cest la musique,French,,
372,372.0,1979, Greece,Elpida,Sokrati Sokrate,Greek,,
373,373.0,1979,  Switzerland,Peter Sue  Marc   Pfuri Gorps  Kniri,Trodler und Co,German,,
374,374.0,1979, Germany,Dschinghis Khan,Dschinghis Khan,German,,
375,375.0,1979, Israel,Milk and Honey,Hallelujah hllvyh,Hebrew,,
376,376.0,1979, France,AnneMarie David ,Je suis lenfant soleil,French,,
377,377.0,1979, Belgium,Micha Marah,Hey nana,Dutch,,
378,378.0,1979, Luxembourg,Jeane Manson,Jai deja vu ca dans tes yeux,French,,
379,379.0,1979, Netherlands,Xandra Sandra Reemer ,Colorado,Dutch,,
380,380.0,1979, Sweden,Ted Gardestad,Satellit,Swedish,,
381,381.0,1979, Norway,Anita Skorgan ,Oliver,Norwegian,,
382,382.0,1979, United Kingdom,Black Lace,Mary Ann,English,,
383,383.0,1979, Austria,Christina Simon,Heute in Jerusalem,German,,
384,384.0,1979, Spain,Betty Missiego,Su cancion,Spanish,,
385,385.0,1980, Austria,Blue Danube,Du bist Musik,German,,
386,386.0,1980, Turkey,Ajda Pekkan,Petr Oil,Turkish,,
387,387.0,1980, Greece,Anna Vissi  Epikouri,Autostop Otostop,Greek,,
388,388.0,1980, Luxembourg,Sophie  Magaly,Papa pingouin,French,,
389,389.0,1980, Morocco,Samira Said,Bitaqat hub bTq Hb,Arabic,,
390,390.0,1980, Italy,Alan Sorrenti,Non so che darei,Italian,,
391,391.0,1980, Denmark,Bamses Venner,Taenker altid pa dig,Danish,,
392,392.0,1980, Sweden,Tomas Ledin,Just nu,Swedish,,
393,393.0,1980,  Switzerland,Paola del Medico ,Cinema,French,,
394,394.0,1980, Finland,VesaMatti Loiri,Huilumies,Finnish,,
