,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,song,year,country,artist,language,rank,points
0,0.498,0.231,2.0,-16.628,1.0,0.0325,0.812,0.00020099999999999998,0.0705,0.34600000000000003,134.092,4.0,Et bonjour a toi lartiste,1975, France,Nicole Rieu,French,4,91
1,0.7170000000000001,0.846,0.0,-7.432,1.0,0.0394,0.0306,0.191,0.0733,0.39,124.988,4.0,Toi,1975, Luxembourg,Geraldine,French,5,84
2,0.617,0.379,0.0,-12.853,1.0,0.0305,0.44,0.0,0.13699999999999998,0.825,87.555,4.0,Let Me Be the One,1975, United Kingdom,The Shadows,English,2,138
3,0.544,0.556,7.0,-11.005999999999998,1.0,0.0887,0.303,0.0,0.107,0.835,184.80900000000003,4.0,Save Your Kisses for Me,1976, United Kingdom,Brotherhood of Man,English,1,164
4,0.516,0.391,5.0,-10.902999999999999,1.0,0.0317,0.69,0.0,0.0699,0.659,101.45700000000001,4.0,My Little World,1976, Austria,Waterloo  Robinson,English,5,80
5,0.581,0.789,0.0,-6.013,0.0,0.0889,0.75,0.0,0.841,0.524,99.29,4.0,Une petite francaise,1977, Monaco,Michele Torr ,French,4,96
6,0.742,0.24100000000000002,2.0,-14.751,1.0,0.0349,0.846,0.0,0.10099999999999999,0.335,102.85700000000001,4.0,Loiseau et lenfant,1977, France,Marie Myriam,French,1,136
7,0.6729999999999999,0.9440000000000001,0.0,-4.794,1.0,0.0654,0.264,0.0,0.0684,0.9279999999999999,140.76,4.0,Dschinghis Khan,1979, Germany,Dschinghis Khan,German,4,86
8,0.792,0.41700000000000004,2.0,-13.948,1.0,0.0317,0.127,0.0,0.303,0.8320000000000001,99.935,4.0,Su cancion,1979, Spain,Betty Missiego,Spanish,2,116
9,0.366,0.38299999999999995,5.0,-9.994,0.0,0.0298,0.768,0.00047000000000000004,0.355,0.424,79.243,4.0,Amsterdam,1980, Netherlands,Maggie MacNeal ,Dutch,5,93
10,0.475,0.65,8.0,-6.391,1.0,0.0352,0.35,3.29e-06,0.0996,0.19899999999999998,106.846,4.0,Whats Another Year,1980, Ireland,Johnny Logan,English,1,143
11,0.722,0.6559999999999999,7.0,-5.497000000000001,1.0,0.0414,0.292,0.0,0.165,0.767,132.67600000000002,4.0,Horoscopes,1981, Ireland,Sheeba,English,5,105
12,0.64,0.8340000000000001,2.0,-9.413,1.0,0.0534,0.278,0.0,0.0459,0.971,173.565,4.0,Making Your Mind Up,1981, United Kingdom,Bucks Fizz,English,1,136
13,0.306,0.588,10.0,-6.8660000000000005,0.0,0.0287,0.45799999999999996,0.0,0.215,0.547,84.766,4.0,Mono i agapi   ,1982, Cyprus,Anna Vissi ,Greek,5,85
14,0.5489999999999999,0.731,6.0,-6.72,0.0,0.111,0.7290000000000001,0.0,0.5770000000000001,0.644,116.572,4.0,Hora ,1982, Israel,Avi Toledano,Hebrew,2,100
15,0.623,0.586,6.0,-5.724,1.0,0.0272,0.436,0.0,0.239,0.574,118.042,4.0,Ein bisschen Frieden,1982, Germany,Nicole,German,1,161
16,0.725,0.573,6.0,-8.619,1.0,0.025,0.439,0.000822,0.159,0.726,106.339,4.0,Framling,1983, Sweden,Carola,Swedish,3,126
17,0.58,0.784,0.0,-9.568,1.0,0.0407,0.406,0.00225,0.0764,0.973,169.97799999999998,4.0,Dzuli ,1983, Yugoslavia,Daniel,Montenegrin,4,125
18,0.496,0.623,7.0,-5.664,1.0,0.0354,0.0875,0.0,0.32899999999999996,0.529,155.755,4.0,Rucksicht,1983, Germany,Hoffmann  Hoffmann,German,5,94
19,0.6809999999999999,0.8759999999999999,5.0,-4.104,1.0,0.0319,0.268,9.96e-06,0.131,0.961,130.89,4.0,Diggiloo diggiley,1984, Sweden,Herreys,Swedish,1,145
20,0.6679999999999999,0.716,2.0,-8.898,1.0,0.0344,0.154,1.62e-05,0.669,0.606,130.815,4.0,Lady Lady,1984, Spain,Bravo,Spanish,3,106
21,0.45799999999999996,0.478,9.0,-10.783,1.0,0.0328,0.381,9.42e-06,0.0912,0.649,168.5,4.0,Avanti la vie,1984, Belgium,Jacques Zegers,French,5,70
22,0.626,0.9640000000000001,1.0,-6.176,0.0,0.0623,0.0184,0.0096,0.258,0.846,144.014,4.0,Terminal ,1984, Ireland,Linda Martin,English,2,137
23,0.486,0.777,1.0,-7.3,1.0,0.0578,0.772,0.0,0.9570000000000001,0.6920000000000001,91.67,4.0,Fur alle,1985, Germany,Wind,German,2,105
24,0.503,0.905,6.0,-6.06,1.0,0.087,0.33399999999999996,0.0,0.19,0.512,138.157,4.0,La det swinge,1985, Norway,Bobbysocks,Norwegian,1,123
25,0.15,0.9790000000000001,10.0,-8.73,0.0,0.106,0.027999999999999997,0.0,0.0751,0.0329,136.366,5.0,Love Is,1985, United Kingdom,Vikki,English,4,100
26,0.529,0.637,0.0,-6.356,1.0,0.0368,0.49,0.0,0.105,0.795,191.4,4.0,Bra vibrationer,1985, Sweden,Kikki Danielsson,Swedish,3,103
