,Year,(semi-) final,Jury or Televoting,From country,To country,Points,2_minority_in_1,distw
0,1975,f,J,Belgium,Belgium,0,0.0,66.77504
1,1976,f,J,Belgium,Belgium,0,0.0,66.77504
2,1977,f,J,Belgium,Belgium,0,0.0,66.77504
3,1978,f,J,Belgium,Belgium,0,0.0,66.77504
4,1979,f,J,Belgium,Belgium,0,0.0,66.77504
5,1980,f,J,Belgium,Belgium,0,0.0,66.77504
6,1981,f,J,Belgium,Belgium,0,0.0,66.77504
7,1982,f,J,Belgium,Belgium,0,0.0,66.77504
8,1983,f,J,Belgium,Belgium,0,0.0,66.77504
9,1984,f,J,Belgium,Belgium,0,0.0,66.77504
10,1985,f,J,Belgium,Belgium,0,0.0,66.77504
11,1986,f,J,Belgium,Belgium,0,0.0,66.77504
12,1987,f,J,Belgium,Belgium,0,0.0,66.77504
13,1988,f,J,Belgium,Belgium,0,0.0,66.77504
14,1989,f,J,Belgium,Belgium,0,0.0,66.77504
15,1990,f,J,Belgium,Belgium,0,0.0,66.77504
16,1991,f,J,Belgium,Belgium,0,0.0,66.77504
17,1992,f,J,Belgium,Belgium,0,0.0,66.77504
18,1993,f,J,Belgium,Belgium,0,0.0,66.77504
19,1995,f,J,Belgium,Belgium,0,0.0,66.77504
20,1996,f,J,Belgium,Belgium,0,0.0,66.77504
21,1998,f,J,Belgium,Belgium,0,0.0,66.77504
22,1999,f,J,Belgium,Belgium,0,0.0,66.77504
23,2000,f,J,Belgium,Belgium,0,0.0,66.77504
24,2002,f,J,Belgium,Belgium,0,0.0,66.77504
25,2003,f,J,Belgium,Belgium,0,0.0,66.77504
26,2004,f,J,Belgium,Belgium,0,0.0,66.77504
27,2005,sf,J,Belgium,Belgium,0,0.0,66.77504
28,2006,sf,J,Belgium,Belgium,0,0.0,66.77504
29,2007,sf,J,Belgium,Belgium,0,0.0,66.77504
30,2008,sf1,J,Belgium,Belgium,0,0.0,66.77504
31,2009,sf1,J,Belgium,Belgium,0,0.0,66.77504
32,2010,f,J,Belgium,Belgium,0,0.0,66.77504
33,2010,sf1,J,Belgium,Belgium,0,0.0,66.77504
34,2011,sf2,J,Belgium,Belgium,0,0.0,66.77504
35,2012,sf1,J,Belgium,Belgium,0,0.0,66.77504
36,2013,f,J,Belgium,Belgium,0,0.0,66.77504
37,2013,sf1,J,Belgium,Belgium,0,0.0,66.77504
38,2014,sf1,J,Belgium,Belgium,0,0.0,66.77504
39,1975,f,J,Belgium,Finland,0,0.0,1706.886
40,1976,f,J,Belgium,Finland,0,0.0,1706.886
41,1977,f,J,Belgium,Finland,0,0.0,1706.886
42,1978,f,J,Belgium,Finland,0,0.0,1706.886
43,1979,f,J,Belgium,Finland,0,0.0,1706.886
44,1980,f,J,Belgium,Finland,0,0.0,1706.886
45,1981,f,J,Belgium,Finland,0,0.0,1706.886
46,1982,f,J,Belgium,Finland,0,0.0,1706.886
47,1983,f,J,Belgium,Finland,0,0.0,1706.886
48,1984,f,J,Belgium,Finland,0,0.0,1706.886
49,1985,f,J,Belgium,Finland,0,0.0,1706.886
50,1986,f,J,Belgium,Finland,8,0.0,1706.886
51,1987,f,J,Belgium,Finland,0,0.0,1706.886
52,1988,f,J,Belgium,Finland,0,0.0,1706.886
53,1989,f,J,Belgium,Finland,0,0.0,1706.886
54,1990,f,J,Belgium,Finland,0,0.0,1706.886
55,1991,f,J,Belgium,Finland,0,0.0,1706.886
56,1992,f,J,Belgium,Finland,0,0.0,1706.886
57,1993,f,J,Belgium,Finland,0,0.0,1706.886
58,1996,f,J,Belgium,Finland,0,0.0,1706.886
59,1998,f,J,Belgium,Finland,0,0.0,1706.886
60,2000,f,J,Belgium,Finland,0,0.0,1706.886
61,2002,f,J,Belgium,Finland,0,0.0,1706.886
62,2004,sf,J,Belgium,Finland,1,0.0,1706.886
63,2005,sf,J,Belgium,Finland,0,0.0,1706.886
64,2006,f,J,Belgium,Finland,8,0.0,1706.886
65,2006,sf,J,Belgium,Finland,10,0.0,1706.886
66,2007,f,J,Belgium,Finland,0,0.0,1706.886
67,2008,f,J,Belgium,Finland,0,0.0,1706.886
68,2008,sf1,J,Belgium,Finland,2,0.0,1706.886
69,2009,f,J,Belgium,Finland,0,0.0,1706.886
