,Year,(semi-) final,Jury or Televoting,From country,To country,Points,2_minority_in_1
0,1975,f,J,Belgium,Belgium,0,0.0
1,1976,f,J,Belgium,Belgium,0,0.0
2,1977,f,J,Belgium,Belgium,0,0.0
3,1978,f,J,Belgium,Belgium,0,0.0
4,1979,f,J,Belgium,Belgium,0,0.0
5,1980,f,J,Belgium,Belgium,0,0.0
6,1981,f,J,Belgium,Belgium,0,0.0
7,1982,f,J,Belgium,Belgium,0,0.0
8,1983,f,J,Belgium,Belgium,0,0.0
9,1984,f,J,Belgium,Belgium,0,0.0
10,1985,f,J,Belgium,Belgium,0,0.0
11,1986,f,J,Belgium,Belgium,0,0.0
12,1987,f,J,Belgium,Belgium,0,0.0
13,1988,f,J,Belgium,Belgium,0,0.0
14,1989,f,J,Belgium,Belgium,0,0.0
15,1990,f,J,Belgium,Belgium,0,0.0
16,1991,f,J,Belgium,Belgium,0,0.0
17,1992,f,J,Belgium,Belgium,0,0.0
18,1993,f,J,Belgium,Belgium,0,0.0
19,1995,f,J,Belgium,Belgium,0,0.0
20,1996,f,J,Belgium,Belgium,0,0.0
21,1998,f,J,Belgium,Belgium,0,0.0
22,1999,f,J,Belgium,Belgium,0,0.0
23,2000,f,J,Belgium,Belgium,0,0.0
24,2002,f,J,Belgium,Belgium,0,0.0
25,2003,f,J,Belgium,Belgium,0,0.0
26,2004,f,J,Belgium,Belgium,0,0.0
27,2005,sf,J,Belgium,Belgium,0,0.0
28,2006,sf,J,Belgium,Belgium,0,0.0
29,2007,sf,J,Belgium,Belgium,0,0.0
30,2008,sf1,J,Belgium,Belgium,0,0.0
31,2009,sf1,J,Belgium,Belgium,0,0.0
32,2010,f,J,Belgium,Belgium,0,0.0
33,2010,sf1,J,Belgium,Belgium,0,0.0
34,2011,sf2,J,Belgium,Belgium,0,0.0
35,2012,sf1,J,Belgium,Belgium,0,0.0
36,2013,f,J,Belgium,Belgium,0,0.0
37,2013,sf1,J,Belgium,Belgium,0,0.0
38,2014,sf1,J,Belgium,Belgium,0,0.0
39,1975,f,J,Belgium,Finland,0,0.0
40,1976,f,J,Belgium,Finland,0,0.0
41,1977,f,J,Belgium,Finland,0,0.0
42,1978,f,J,Belgium,Finland,0,0.0
43,1979,f,J,Belgium,Finland,0,0.0
44,1980,f,J,Belgium,Finland,0,0.0
45,1981,f,J,Belgium,Finland,0,0.0
46,1982,f,J,Belgium,Finland,0,0.0
47,1983,f,J,Belgium,Finland,0,0.0
48,1984,f,J,Belgium,Finland,0,0.0
49,1985,f,J,Belgium,Finland,0,0.0
50,1986,f,J,Belgium,Finland,8,0.0
51,1987,f,J,Belgium,Finland,0,0.0
52,1988,f,J,Belgium,Finland,0,0.0
53,1989,f,J,Belgium,Finland,0,0.0
54,1990,f,J,Belgium,Finland,0,0.0
55,1991,f,J,Belgium,Finland,0,0.0
56,1992,f,J,Belgium,Finland,0,0.0
57,1993,f,J,Belgium,Finland,0,0.0
58,1996,f,J,Belgium,Finland,0,0.0
59,1998,f,J,Belgium,Finland,0,0.0
60,2000,f,J,Belgium,Finland,0,0.0
61,2002,f,J,Belgium,Finland,0,0.0
62,2004,sf,J,Belgium,Finland,1,0.0
63,2005,sf,J,Belgium,Finland,0,0.0
64,2006,f,J,Belgium,Finland,8,0.0
65,2006,sf,J,Belgium,Finland,10,0.0
66,2007,f,J,Belgium,Finland,0,0.0
67,2008,f,J,Belgium,Finland,0,0.0
68,2008,sf1,J,Belgium,Finland,2,0.0
69,2009,f,J,Belgium,Finland,0,0.0
70,2009,sf1,J,Belgium,Finland,1,0.0
71,2010,sf1,J,Belgium,Finland,7,0.0
72,2011,f,J,Belgium,Finland,0,0.0
73,2012,sf1,J,Belgium,Finland,1,0.0
74,2013,f,J,Belgium,Finland,0,0.0
75,2014,f,J,Belgium,Finland,3,0.0
76,1975,f,J,Belgium,France,2,0.0
77,1976,f,J,Belgium,France,10,0.0
78,1977,f,J,Belgium,France,4,0.0
79,1978,f,J,Belgium,France,8,0.0
80,1979,f,J,Belgium,France,6,0.0
81,1980,f,J,Belgium,France,5,0.0
82,1981,f,J,Belgium,France,3,0.0
83,1983,f,J,Belgium,France,0,0.0
84,1984,f,J,Belgium,France,10,0.0
