	country	artist	song	language	final-rank	points
1nd Eurovision Song Contest 1956, Frankfurt, West Germany						
1	 Netherlands	Jetty Paerl	"De vogels van Holland"	Dutch	-	-
2	  Switzerland	Lys Assia	"Das alte Karussell"	German	-	-
3	 Belgium	Fud Leclerc	"Messieurs les noyés de la Seine"	French	-	-
4	 Germany (West)	Walter Andreas Schwarz	"Im Wartesaal zum großen Glück"	German	-	-
5	 France	Mathé Altéry	"Le temps perdu"	French	-	-
6	 Luxembourg	Michèle Arnaud	"Ne crois pas"	French	-	-
7	 Italy	Franca Raimondi	"Aprite le finestre"	Italian	-	-
8	 Netherlands	Corry Brokken	"Voorgoed voorbij"	Dutch	-	-
9	  Switzerland	Lys Assia (2)	"Refrain"	French	1	-
10	 Belgium	Mony Marc	"Le plus beau jour de ma vie"	French	-	-
11	 Germany	Freddy Quinn	"So geht das jede Nacht"	German	-	-
12	 France	Dany Dauberson	"Il est là"	French	-	-
13	 Luxembourg	Michèle Arnaud (2)	"Les amants de minuit"	French	-	-
14	 Italy	Tonina Torrielli	"Amami se vuoi"	Italian	-	-
2nd Eurovision Song Contest 1957, Frankfurt, West Germany						
15	 Belgium	Bobbejaan Schoepen	"Straatdeuntje"	Dutch	8	5
16	 Luxembourg	Danièle Dupré	"Amours mortes (Tant de peine)"	French	4	8
17	 United Kingdom	Patricia Bredin	"All"	English	7	6
18	 Italy	Nunzio Gallo	"Corde della mia chitarra"	Italian	6	7
19	 Austria	Bob Martin	"Wohin, kleines Pony?"	German	10	3
20	 Netherlands	Corry Brokken (2)	"Net als toen"	Dutch	1	31
21	 Germany	Margot Hielscher	"Telefon, Telefon"	German	4	8
				(Engl./Fr./It./Sp.)		
22	 France	Paule Desjardins	"La belle amour"	French	2	17
23	 Denmark	Birthe Wilke & Gustav Winckler	"Skibet skal sejle i nat"	Danish	3	10
24	  Switzerland	Lys Assia (3)	"L'enfant que j'étais"	French	8	5
3rd Eurovision Song Contest 1958, Hilversum, Netherlands						
25	 Italy	Domenico Modugno	"Nel blu dipinto di blu (Volare)"	Italian	3	13
26	 Netherlands	Corry Brokken (3)	"Heel de wereld"	Dutch	9	1
27	 France	André Claveau	"Dors, mon amour"	French	1	27
28	 Luxembourg	Solange Berry	"Un grand amour"	French	9	1
29	 Sweden	Alice Babs	"Lilla stjärna"	Swedish	4	10
30	 Denmark	Raquel Rastenni	"Jeg rev et blad ud af min dagbog"	Danish	8	3
31	 Belgium	Fud Leclerc (2)	"Ma petite chatte"	French	5	8
32	 Germany	Margot Hielscher (2)	"Für zwei Groschen Musik"	German	7	5
33	 Austria	Liane Augustin	"Die ganze Welt braucht Liebe"	German	5	8
34	  Switzerland	Lys Assia (4)	"Giorgio"	German/Italian	2	24
4th Eurovision Song Contest 1959, Cannes, France						
35	 France	Jean Philippe	"Oui, oui, oui, oui"	French	3	15
36	 Denmark	Birthe Wilke (2)	"Uh, jeg ville ønske jeg var dig"	Danish	5	12
37	 Italy	Domenico Modugno (2)	"Piove (Ciao, ciao bambina)"	Italian	6	9
38	 Monaco	Jacques Pills	"Mon ami Pierrot"	French	11	1
39	 Netherlands	Teddy Scholten	"Een beetje"	Dutch	1	21
40	 Germany	Alice & Ellen Kessler	"Heute Abend wollen wir tanzen geh'n"	German	8	5
41	 Sweden	Brita Borg	"Augustin"	Swedish	9	4
42	  Switzerland	Christa Williams	"Irgendwoher"	German	4	14
43	 Austria	Ferry Graf	"Der K und K Kalypso aus Wien"	German	9	4
44	 United Kingdom	Pearl Carr & Teddy Johnson	"Sing, Little Birdie"	English	2	16
45	 Belgium	Bob Benny	"Hou toch van mij"	Dutch	6	9
5th Eurovision Song Contest 1960, London, United Kingdom						
46	 United Kingdom	Bryan Johnson	"Looking High, High, High"	English	2	25
47	 Sweden	Siw Malmkvist	"Alla andra får varann"	Swedish	10	4
48	 Luxembourg	Camillo Felgen	"So laang we's du do bast"	Luxembourgish	13	1
49	 Denmark	Katy Bødtger	"Det var en yndig tid"	Danish	10	4
